Ca,t_over_ta,lambda
0.00043,0.45514,0.81810
0.00043,0.61182,0.59513
0.00043,0.82237,0.57077
0.00043,1.10548,0.51390
0.00043,1.48592,0.40550
0.00043,1.99746,0.37747
0.00043,2.68509,0.27280
0.00043,3.60916,0.21603
0.00043,4.85162,0.22910
0.00043,6.52182,0.23281
0.00043,8.76627,0.20057
0.00043,11.78410,0.17601
0.00043,15.84082,0.15991
0.00043,21.29237,0.16535
0.00043,28.62236,0.18539
0.00043,38.47573,0.18769
0.00043,51.71697,0.18086
0.0011,0.22126,1.04332
0.0011,0.29587,0.99765
0.0011,0.39566,0.82837
0.0011,0.52907,0.76628
0.0011,0.70751,0.67592
0.0011,0.94607,0.57332
0.0011,1.26516,0.44251
0.0011,1.69188,0.40111
0.0011,2.26234,0.33550
0.0011,3.02540,0.27635
0.0011,4.04549,0.25837
0.0011,5.40997,0.23119
0.0011,7.23407,0.22924
0.0011,9.67401,0.24103
0.0011,12.93585,0.23423
0.0011,17.29891,0.23044
0.0011,23.13168,0.23119
0.0026,0.28907,1.11943
0.0026,0.39941,0.95648
0.0026,0.55180,0.75856
0.0026,0.76241,0.67187
0.0026,1.05341,0.55768
0.0026,1.45534,0.44928
0.0026,2.01081,0.34693
0.0026,2.77806,0.31340
0.0026,3.83836,0.31299
0.0026,5.30337,0.27792
0.0026,7.32692,0.27450
0.0026,10.12341,0.25474
0.0026,13.98725,0.27013
0.0026,19.32424,0.26747
0.0026,26.69978,0.25231
0.0026,36.89037,0.25554
0.0026,50.96630,0.26299
0.0043,0.24657,1.17026
0.0043,0.34398,1.06187
0.0043,0.47989,0.88147
0.0043,0.66949,0.68938
0.0043,0.93400,0.55380
0.0043,1.30302,0.47979
0.0043,1.81769,0.42266
0.0043,2.53585,0.35678
0.0043,3.53775,0.32135
0.0043,4.93550,0.30078
0.0043,6.88548,0.30389
0.0043,9.60589,0.28880
0.0043,13.40111,0.28185
0.0043,18.69581,0.29087
0.0043,26.08241,0.28837
0.0043,36.38741,0.28335
0.0043,50.76384,0.28684
0.0062,0.34034,1.02715
0.0062,0.46557,0.88301
0.0062,0.63692,0.78984
0.0062,0.87127,0.63560
0.0062,1.19184,0.59145
0.0062,1.63049,0.44360
0.0062,2.23041,0.37351
0.0062,3.05106,0.34848
0.0062,4.17400,0.34096
0.0062,5.70977,0.33189
0.0062,7.81061,0.33021
0.0062,10.68530,0.33047
0.0062,14.61682,0.32572
0.0062,19.99489,0.32529
0.0062,27.35175,0.32208
0.0062,37.41852,0.31689
0.0062,51.18619,0.31447
0.0086,1.38072,0.55240
0.0086,1.79087,0.45310
0.0086,2.32287,0.38422
0.0086,3.01265,0.33629
0.0086,3.90757,0.34170
0.0086,5.06835,0.34227
0.0086,6.57394,0.33544
0.0086,8.52678,0.33653
0.0086,11.05973,0.33261
0.0086,14.34510,0.32715
0.0086,18.60491,0.33024
0.0086,24.13164,0.32360
0.0086,31.30013,0.33119
0.0086,40.59808,0.32481
0.0086,52.65805,0.32329
0.017,0.36893,1.05808
0.017,0.50222,0.91917
0.017,0.68373,0.76695
0.017,0.93075,0.65183
0.017,1.26712,0.56492
0.017,1.72491,0.44682
0.017,2.34810,0.37494
0.017,3.19669,0.35791
0.017,4.35161,0.34636
0.017,5.92427,0.34464
0.017,8.06463,0.33325
0.017,10.97827,0.32202
0.017,14.94579,0.32737
0.017,20.34550,0.31212
0.017,27.69831,0.31375
0.017,37.70533,0.30747
0.017,51.33192,0.30978
0.023,3.60974,0.30546
0.023,4.44450,0.30811
0.023,5.47184,0.30131
0.023,6.73666,0.31375
0.023,8.29384,0.29138
0.023,10.21096,0.30411
0.023,12.57122,0.27838
0.023,15.47705,0.27119
0.023,19.05612,0.29327
0.023,23.46095,0.28028
0.023,28.88395,0.30472
0.023,35.56047,0.27297
0.023,43.78027,0.27452
0.023,53.90008,0.27385
0.048,0.49614,0.97680
0.048,0.66348,0.82830
0.048,0.88719,0.69288
0.048,1.18643,0.62351
0.048,1.58646,0.52909
0.048,2.12155,0.42518
0.048,2.83689,0.32402
0.048,3.79373,0.25366
0.048,5.07288,0.20193
0.048,6.78388,0.16541
0.048,9.07124,0.12612
0.048,12.13083,0.12108
0.048,16.22236,0.10367
0.048,21.69215,0.09482
0.048,29.00856,0.08799
0.048,38.78954,0.08632
0.048,51.87264,0.08637
0.099,0.51045,0.97825
0.099,0.68145,0.81925
0.099,0.90967,0.67075
0.099,1.21441,0.59993
0.099,1.62112,0.52550
0.099,2.16420,0.39572
0.099,2.88898,0.32076
0.099,3.85649,0.25736
0.099,5.14843,0.19786
0.099,6.87263,0.15561
0.099,9.17499,0.12291
0.099,12.24766,0.10216
0.099,16.35069,0.08018
0.099,21.82648,0.06448
0.099,29.13845,0.05784
0.099,38.89682,0.06014
0.099,51.92745,0.05639
